ID,City,Lat,Lon,Country,State
4166673,Ocala,29.1872,-82.14009,US,FL
4166776,Ocoee,28.56917,-81.54396,US,FL
4166805,Ojus,25.94843,-80.1506,US,FL
4167003,Opa-locka,25.90232,-80.25033,US,FL
4167147,Orlando,28.53834,-81.37924,US,FL
4167178,Ormond Beach,29.28581,-81.05589,US,FL
4167348,Oviedo,28.67,-81.20812,US,FL
4167424,Pace,30.59936,-87.16108,US,FL
4167499,Palm Bay,28.03446,-80.58866,US,FL
4167519,Palm Beach Gardens,26.82339,-80.13865,US,FL
4167536,Palm City,27.16783,-80.26616,US,FL
4167538,Palm Coast,29.58497,-81.20784,US,FL
4167545,Palm Harbor,28.07807,-82.76371,US,FL
4167583,Palm Springs,26.6359,-80.09615,US,FL
4167601,Palm Valley,30.17746,-81.38758,US,FL
4167634,Palmetto Bay,25.62177,-80.32477,US,FL
4167694,Panama City,30.15946,-85.65983,US,FL
4167829,Parkland,26.31008,-80.23727,US,FL
4168139,Pembroke Pines,26.00315,-80.22394,US,FL
4168228,Pensacola,30.42131,-87.21691,US,FL
4168459,Pine Hills,28.55778,-81.4534,US,FL
4168590,Pinecrest,25.66705,-80.30811,US,FL
4168630,Pinellas Park,27.8428,-82.69954,US,FL
4168659,Pinewood,25.86898,-80.21699,US,FL
4168773,Plant City,28.01888,-82.11469,US,FL
4168782,Plantation,26.13421,-80.23184,US,FL
4168930,Poinciana,28.14029,-81.45841,US,FL
4169014,Pompano Beach,26.23786,-80.12477,US,FL
4169060,Ponte Vedra Beach,30.23969,-81.38564,US,FL
4169130,Port Charlotte,26.97617,-82.09064,US,FL
4169156,Port Orange,29.13832,-80.99561,US,FL
4169171,Port Saint Lucie,27.29393,-80.35033,US,FL
4169345,Princeton,25.53844,-80.40894,US,FL
4169452,Punta Gorda,26.92978,-82.04537,US,FL
4169455,Punta Gorda Isles,26.91756,-82.07842,US,FL
4170005,Richmond West,25.6105,-80.42971,US,FL
4170156,Riverview,27.86614,-82.32648,US,FL
4170174,Riviera Beach,26.77534,-80.0581,US,FL
4170358,Rockledge,28.35084,-80.72533,US,FL
4170617,Royal Palm Beach,26.7084,-80.2306,US,FL
4170688,Ruskin,27.72086,-82.43315,US,FL
4170797,Safety Harbor,27.99085,-82.69316,US,FL
4170965,Saint Cloud,28.2489,-81.28118,US,FL
4171563,St. Petersburg,27.77086,-82.67927,US,FL
4171782,San Carlos Park,26.4673,-81.80147,US,FL
4172086,Sanford,28.80055,-81.27312,US,FL
4172131,Sarasota,27.33643,-82.53065,US,FL
4172372,Sebastian,27.81641,-80.47061,US,FL
4172434,Seminole,27.83975,-82.79121,US,FL
4173392,South Bradenton,27.4631,-82.58176,US,FL
4173497,South Miami Heights,25.59761,-80.38061,US,FL
4173600,Southchase,28.39306,-81.3834,US,FL
4173838,Spring Hill,28.47688,-82.52546,US,FL
4174201,Stuart,27.19755,-80.25283,US,FL
4174317,Sun City Center,27.71809,-82.35176,US,FL
4174383,Sunny Isles Beach,25.95065,-80.12282,US,FL
4174402,Sunrise,26.13397,-80.1131,US,FL
4174425,Sunset,25.70594,-80.35228,US,FL
4174600,Sweetwater,25.76343,-80.37311,US,FL
4174715,Tallahassee,30.43826,-84.28073,US,FL
4174738,Tamarac,26.21286,-80.24977,US,FL
4174744,Tamiami,25.75871,-80.39839,US,FL
4174757,Tampa,27.94752,-82.45843,US,FL
4174855,Tarpon Springs,28.14612,-82.75677,US,FL
4174861,Tavares,28.80416,-81.72563,US,FL
4174969,Temple Terrace,28.0353,-82.38926,US,FL
4175091,The Crossings,25.67066,-80.40117,US,FL
4175117,The Hammocks,25.67149,-80.4445,US,FL
4175179,The Villages,28.93408,-81.95994,US,FL
4175296,Three Lakes,25.64205,-80.39839,US,FL
4175437,Titusville,28.61222,-80.80755,US,FL
4175538,Town 'n' Country,28.01057,-82.57732,US,FL
4176217,University Park,25.74649,-80.36755,US,FL
4176318,Valrico,27.93789,-82.23644,US,FL
4176380,Venice,27.09978,-82.45426,US,FL
4176409,Vero Beach,27.63864,-80.39727,US,FL
4177671,Wekiwa Springs,28.69861,-81.42563,US,FL
4177703,Wellington,26.65868,-80.24144,US,FL
4177727,Wesley Chapel,28.23973,-82.32787,US,FL
4177779,Westchase,28.05502,-82.60982,US,FL
4177834,West Hollywood,26.02065,-80.18394,US,FL
4177865,West Little River,25.85704,-80.23699,US,FL
4177872,West Melbourne,28.07168,-80.65339,US,FL
4177887,West Palm Beach,26.71534,-80.05337,US,FL
4177897,West Park,25.98454,-80.19894,US,FL
4177908,West Pensacola,30.42659,-87.27969,US,FL
4177960,West and East Lealman,27.81993,-82.68944,US,FL
4177965,Westchester,25.75482,-80.32727,US,FL
4178003,Weston,26.10037,-80.39977,US,FL
4178550,Winter Garden,28.56528,-81.58618,US,FL
4178552,Winter Haven,28.02224,-81.73286,US,FL
4178560,Winter Park,28.6,-81.33924,US,FL
4178573,Winter Springs,28.69889,-81.30812,US,FL
4178775,Wright,30.45575,-86.63829,US,FL
4179074,Acworth,34.06635,-84.67837,US,GA
4179320,Albany,31.57851,-84.15574,US,GA
4179574,Alpharetta,34.07538,-84.29409,US,GA
